unit  language  isced11  geo\time  2019  2018  2017  2016  2015  2014  2013  2012
NR  BUL  ED34  IT  0  0  0  0  0  0  0 :
NR  BUL  ED34  LI  0  0  0  0  0  0 : :
NR  BUL  ED34  LT  0  0  0  0  0  0  0 :
NR  BUL  ED34  LU  0  0  0  0  0  0  0 :
NR  BUL  ED34  LV  0  0  0  0  0  0  0  0
NR  BUL  ED34  MK  0  0  0  0  0  0 : :
NR  BUL  ED34  MT  0  0  7  1  0  0  0 :
NR  BUL  ED34  NL  :  :  :  :  :  :  0 :
NR  BUL  ED34  NO  0  0  0  0  0  0  0 :
NR  BUL  ED34  PL  0  0  0  :  :  :  : :
NR  BUL  ED34  PT  0  0  0  0  0  0  0  0
NR  BUL  ED34  RO  0  0  0  0  0  0  0  0
NR  BUL  ED34  RS :  0  0  0  0  0  0 :
NR  BUL  ED34  SE  0  0  0  0  0  0  0 :
NR  BUL  ED34  SI  0  0  0  0  0  0  0 :
NR  BUL  ED34  SK  29  43  24  17  40  35  34 :
NR  BUL  ED34  UK  0  0  0  0 : : : :
NR  BUL  ED35  AT  0  0  0  0  0  0  0  0
NR  BUL  ED35  BE  0  0  0  0  0  0  0 :
NR  BUL  ED35  BE_FRA  :  :  :  :  :  :  : :
NR  BUL  ED35  BE_VLA  0  0  0  0  0  0  0 :
NR  BUL  ED35  BG  :  :  :  :  0  :  : :
NR  BUL  ED35  CY  0  0  0  0  0 :  0 :
NR  BUL  ED35  CZ  0  0  0  0  0  0  0 :
NR  BUL  ED35  DE  0  0  0  0  0  0  0  0
NR  BUL  ED35  DK  :  :  :  : :  :  :  0
NR  BUL  ED35  EE  0  0  0  0  0  0  0 :
NR  BUL  ED35  EL  :  :  :  :  :  :  : :
NR  BUL  ED35  ES  0  0  0  0  0  0  0 :
NR  BUL  ED35  EU27_2020  0  0  0 : : : : :
NR  BUL  ED35  FI  :  :  :  :  :  :  : :
NR  BUL  ED35  FR  0  0  0  :  :  :  : :
NR  BUL  ED35  HR  0  0  0  0  0  0  0  0
NR  BUL  ED35  HU  0  0  0  0  0  0  0  0
NR  BUL  ED35  IE : : : : : :  :  1
NR  BUL  ED35  IS  0  0  0  0  0  0  0 :
NR  BUL  ED35  IT  0  0  0  0  0  0  0 :
NR  BUL  ED35  LI  0  :  :  :  :  : : :
NR  BUL  ED35  LT  0  0  0  0  0  0  0 :
NR  BUL  ED35  LU  0  0  0  0  0  0  0 :
NR  BUL  ED35  LV  0  0  0  0  0  0  0  0
NR  BUL  ED35  MK  0  0  0  0  0  0 : :
NR  BUL  ED35  MT  0  0  0  0  0  0  0 :
NR  BUL  ED35  NL  :  :  :  :  :  :  0 :
NR  BUL  ED35  NO  0  0  0  0  0  0  0 :
NR  BUL  ED35  PL  0  0  0  :  :  :  : :
NR  BUL  ED35  PT  0  0  0  0  0  0  0  0
NR  BUL  ED35  RO  0  0  0  0  0  0  0  0
NR  BUL  ED35  RS :  0  0  0  0  0  0 :
NR  BUL  ED35  SE  0  0  0  0  0  0  0 :
NR  BUL  ED35  SI  0  0  0  0  0  0  0 :
NR  BUL  ED35  SK  0  0  0  0  0  0  0 :
NR  CHI  ED1  AT  0  0  0  0  1  0  0  0
NR  CHI  ED1  BE  0  0  0  0  0  0  0 :
NR  CHI  ED1  BE_FRA  :  :  :  :  :  :  : :
NR  CHI  ED1  BE_VLA  0  0  0  0  0  0  0 :
NR  CHI  ED1  BG  0  0  0  0  0  0  0 :
NR  CHI  ED1  CY  0  0  0  0  0  0  0 :
NR  CHI  ED1  CZ  0  6  6  5  0  0  0 :
NR  CHI  ED1  DE  0  0  0  0  0  0  0  0
NR  CHI  ED1  DK  :  :  :  : :  :  :  0
NR  CHI  ED1  EE  7  0  18  48  6  17  16 :
NR  CHI  ED1  EL  :  :  :  :  :  :  : :
NR  CHI  ED1  ES  1045  2142  3151  1612  2384  1285  883 :
NR  CHI  ED1  EU27_2020  4928  8721  9112  3803  5579 : : :
NR  CHI  ED1  EU28 :  123250.7 : : : : : :
NR  CHI  ED1  FI  :  :  :  :  :  :  : :
NR  CHI  ED1  FR  1461  4821  4821  1217  2394  1362  1763 :
NR  CHI  ED1  HR  0  0  0  0  0  0  0  0
NR  CHI  ED1  HU  287  257  250  256  234  176  175  157
NR  CHI  ED1  IE  :  :  :  :  :  : :  0
NR  CHI  ED1  IS  0  94  106  106  0  0  0 :
NR  CHI  ED1  IT  1056  946  0  0  0  0  0 :
NR  CHI  ED1  LI  0  0  0  0  0  0 : :
NR  CHI  ED1  LT  0  0  0  0  0  0  0 :
NR  CHI  ED1  LU  0  0  0  0  0  0  0 :
NR  CHI  ED1  LV  0  15  0  8  24  0  21  53
NR  CHI  ED1  MK  0  0  0  0  0  0  0 :
NR  CHI  ED1  MT  0  0  0  0  0  0  0 :
NR  CHI  ED1  NL  94  90  87  75  80 :  0 :
NR  CHI  ED1  NO  0  0  0  0  0  0  0 :
NR  CHI  ED1  PL  94  104  112  119  0  :  : :
NR  CHI  ED1  PT  315  0  0  0  0  0  0  0
NR  CHI  ED1  RO  352  25  304  0  0  0  0  0
NR  CHI  ED1  RS :  0  0  0  0  0  0 :
NR  CHI  ED1  SE  217  315  363  463  456  158  125 :
NR  CHI  ED1  SI  0  0  0  0  0  0  0 :
NR  CHI  ED1  SK  0  0  0  0  0  0  0 :
NR  CHI  ED2  AT  0  0  0  0  0  40  103  10
NR  CHI  ED2  BE  0  0  0  0  0  0  0 :
NR  CHI  ED2  BE_FRA  :  :  :  :  :  :  : :
NR  CHI  ED2  BE_VLA  0  0  0  0  0  0  0 :
NR  CHI  ED2  BG  0  0  0  0  0  0  0 :
NR  CHI  ED2  CY  0  0  0  0  0  0  0 :
NR  CHI  ED2  CZ  6  0  0  0  0  1  0 :
NR  CHI  ED2  DE  0  0  0  0  0  0  0  0
NR  CHI  ED2  DK  :  :  :  : :  :  :  0
NR  CHI  ED2  EE  53  70  73  57  55  49  27 :
NR  CHI  ED2  EL  :  :  :  :  :  :  : :
NR  CHI  ED2  ES  617  700  986  943  846  627  350 :
NR  CHI  ED2  EU27_2020  20090  17871  16328  14570  13091 : : :
NR  CHI  ED2  EU28 :  148448.7 : : : : : :
NR  CHI  ED2  FI  :  :  :  :  :  :  : :
NR  CHI  ED2  FR  17281  15240  13828  12338  11158  9986  8259 :
NR  CHI  ED2  HR  0  0  0  0  0  0  0  0
NR  CHI  ED2  HU  220  174  163  132  95  97  88  80
NR  CHI  ED2  IE  615  408  344  153  56  0  0  0
NR  CHI  ED2  IS  0  0  0  0  0  0  0 :
NR  CHI  ED2  IT  44  79  0  0  0  0  0 :
NR  CHI  ED2  LI  0  0  0  0  0  0 : :
NR  CHI  ED2  LT  0  6  15  35  11  0  0 :
NR  CHI  ED2  LU  59  0  0  0  0  0  0 :
NR  CHI  ED2  LV  4  18  26  33  53  26  37  0
NR  CHI  ED2  MK  0  0  0  0  0  0  0 :
NR  CHI  ED2  MT  29  30  29  16  57  0  0 :
NR  CHI  ED2  NL  :  :  :  :  :  :  0 :
NR  CHI  ED2  NO  0  0  0  0  0  0  0 :
NR  CHI  ED2  PL  39  43  25  25  0  :  : :
NR  CHI  ED2  PT  241  0  0  0  0  0  0  0
NR  CHI  ED2  RO  178  355  108  0  0  0  0  0
NR  CHI  ED2  RS :  0  0  0  0  0  0 :
NR  CHI  ED2  SE  686  730  721  838  760  288  283 :
NR  CHI  ED2  SI  18  18  10  0  0  0  0 :
NR  CHI  ED2  SK  0  0  0  0  0  0  0 :
NR  CHI  ED3  AT  55  43  25  44  33  125  176  19
NR  CHI  ED3  BE  0  0  0  0  0  0  0 :
NR  CHI  ED3  BE_FRA  :  :  :  :  :  :  : :
NR  CHI  ED3  BE_VLA  0  0  0  0  0  0  0 :
NR  CHI  ED3  BG  0  0  0  0  0  0  0 :
NR  CHI  ED3  CY  0  0  0  0  0  0  0 :
NR  CHI  ED3  CZ  0  9  10  17  0  0  0 :
NR  CHI  ED3  DE  0  0  0  0  0  0  0  0
NR  CHI  ED3  DK  1085  1708  2208  2293  443  443  397  361
NR  CHI  ED3  EE  156  142  144  173  162  140  86 :
NR  CHI  ED3  EL  :  :  :  :  :  :  : :
NR  CHI  ED3  ES  144  93  159  121  186  131  120 :
NR  CHI  ED3  EU27_2020  46184  43517  41165  37405  31474 : : :
NR  CHI  ED3  EU28 :  59409.4 : : : : : :
NR  CHI  ED3  FI  :  :  :  :  :  :  : :
NR  CHI  ED3  FR  28900  28347  27061  23937  22360  20220  18932 :
NR  CHI  ED3  HR  0  0  0  0  0  0  0  0
NR  CHI  ED3  HU  262  257  201  274  212  147  74  106
NR  CHI  ED3  IE : : : : : :  0  0
NR  CHI  ED3  IS  26  25  18  24  7  13  8 :
NR  CHI  ED3  IT  12969  11270  9560  8485  6625  4590  3251 :
NR  CHI  ED3  LI  0  0  0  0  0  0 : :
NR  CHI  ED3  LT  51  48  56  56  17  0  0 :
NR  CHI  ED3  LU  70  26  7  3  0  0  0 :
NR  CHI  ED3  LV  50  31  32  57  95  72  87  74
NR  CHI  ED3  MK  0  0  0  0  0  0  0 :
NR  CHI  ED3  MT  13  13  1  2  21  0  0 :
NR  CHI  ED3  NL  646  612  485  330  213  :  0 :
